timestamp,symbol,side,price,quantity,exchange,level_num
2024-01-15 09:30:00,BTC/USD,BID,42500.00,0.5,COINBASE,1
2024-01-15 09:30:00,BTC/USD,ASK,42505.00,0.3,COINBASE,1
2024-01-15 09:30:00,BTC/USD,BID,42499.50,1.2,COINBASE,2
2024-01-15 09:30:00,BTC/USD,ASK,42510.00,0.8,COINBASE,2
2024-01-15 09:30:00,ETH/USD,BID,2650.00,2.5,BINANCE,1
2024-01-15 09:30:00,ETH/USD,ASK,2652.50,1.8,BINANCE,1
2024-01-15 09:30:00,ETH/USD,BID,2649.75,3.2,BINANCE,2
2024-01-15 09:30:00,ETH/USD,ASK,2655.00,2.1,BINANCE,2
2024-01-15 09:30:00,ADA/USD,BID,0.4850,1000,KRAKEN,1
2024-01-15 09:30:00,ADA/USD,ASK,0.4855,800,KRAKEN,1
2024-01-15 09:30:00,SOL/USD,BID,95.50,50,COINBASE,1
2024-01-15 09:30:00,SOL/USD,ASK,95.75,35,COINBASE,1 
